transect,plot,position,replicate,salinity
G1,12,1,1,7.1
G1,12,1,2,7.1
G1,12,2,1,8.7
G1,12,2,2,8.7
G1,13,1,NA,7.1
G1,13,2,NA,6.9
G1,14,1,NA,6.6
G1,15,1,NA,7.6
G1,15,2,NA,7.7
G1,17,1,NA,11. 4
G1,18,1,NA,10.1
G1,18,2,NA,10.1
